termID,termfull,descriptiontext
Liquidity,Liquidity,The ease with which a financial instrument can be exchanged for goods and services. Cash is very liquid whereas a life assurance policy is less so.
Macroeconomics,Macroeconomics,"The branch of economics that deals with the whole economy in terms of aggregated variables such as output, consumption, investment, government spending and net trade."
Manufacturing,Manufacturing,"As a general rule, activities in the manufacturing section involve the transformation of materials into new products. Their output is a new product."
Marketfailure,Market failure,"Instances when a market outcome delivers a suboptimal or inefficient allocation of resources. These include situations of imperfect information, barriers to entry or natural monopoly."
Microeconomics,Microeconomics,"The branch of economics that studies individual economic agents and units: individuals, households, firms and industries."
Mixedincome,Mixed income,The balancing item in the income account for unincorporated businesses owned by households. The owner or members of the same household often provide unpaid labour inputs to the business. The surplus is therefore a mixture of remuneration for such labour and return to the owner as entrepreneur.
Monetarypolicy,Monetary policy,Policy to affect the supply or cost of money (rate of interest).
Moneysupply,Money supply,The amount of money available in an economy.
MultifactorproductivityMFP,Multi-factor productivity (MFP),"The difference between the rate of change of output and the rate of change of total inputs. It is calculated as a residual, which can be thought of as capturing technological progress, including the effect of changes in management techniques and business processes or more efficient use of factor inputs."
Multipliereffect,Multiplier effect,"A measure of how one economic action influences other economic activities. The fiscal multiplier, for instance, is the amount that GDP increases for each extra pound of expenditure. For example, government spending on a new hospital could also see businesses benefit that supply the hospital and local retail outlets for the staff."
Nationalaccounts,National accounts,"An integrated description of all economic activity within the economic territory of the UK, including activity involving both domestic units (i.e. individuals and institutions resident in the UK) and external units (those resident in other countries)."
Nationaldebt,National debt,The accumulated effect of budget deficits (less surpluses): the total stock of outstanding government debt.
Nationalincome,National income,"Everything produced, earned and spent in a country. An economy’s net national product, subtracting depreciation from GNP at basic prices."
Naturalrateofunemployment,Natural rate of unemployment,The lowest rate of unemployment at which job markets can be in stable equilibrium.
NonprofitinstitutionsservinghouseholdsNPISH,Non-profit institutions serving households (NPISH),"An institutional sector consisting of non-profit institutions that are not mainly financed and controlled by government and provide goods or services to households for free or at prices that are not economically significant. These include bodies such as charities, universities, churches and trade unions."
Nonseasonallyadjusted,Non seasonally adjusted,A series that includes seasonal or calendar effects.
OfficeforBudgetResponsibilityOBR,Office for Budget Responsibility (OBR),Created in 2010 to produce official independent forecasts of the UK economy as well as authoritative analysis of the UK’s public finances.
Opportunitycostofagood,Opportunity cost of a good,The quantity of other goods sacrificed to get another unit of that good.
Outputgap,Output gap,The difference between actual and potential output.
Potentialoutput,Potential output,Output when all inputs are fully employed.
Producerprices,Producer prices,The prices faced by producers. The input price is the cost of goods bought by UK manufacturers for use in manufacturing. The output price (factory gate price) is the price of goods sold by UK manufacturers.
Productivity,Productivity,"A measure of the efficiency of output relative to inputs. For example, productivity will have increased if more is produced with the same amount of inputs. It can be applied to the individual factors of production – most commonly labour – or collectively."
PurchasingPowerParityPPP,Purchasing Power Parity (PPP),The path of the nominal exchange rate that would maintain a constant real exchange rate. Nominal exchange rate changes offset inflation differentials between countries.
QuantitativeEasingQE,Quantitative Easing (QE),A form of monetary policy in which a Central Bank buys financial assets – usually government bonds – to raise the money supply in an economy.
QuarterlyNationalAccountsQNA,Quarterly National Accounts (QNA),The third estimate of UK GDP based on around 92% of all survey data.
Realexchangerate,Real exchange rate,A country’s exchange rate adjusted for the relative price movements of tradable goods and services.
Realhouseholddisposableincome,Real household disposable income,"The amount of income available for a household after taxes and subsidies, adjusted to remove the effects of inflation."
Realinterestrate,Real interest rate,"The real rate of return on an asset, calculated by adjusting the interest received by the rate of inflation."
Retailprices,Retail prices,The price of goods offered to the consumer.
RPIRPIXRPIYRPIJ,"RPI, RPI(X), RPI(Y), RPI(J)","The Retail Prices Index (RPI) is a measure of inflation, but unlike the CPI, it incorporates housing costs. RPI(X) excludes mortgage interest payments, RPI(Y) is adjusted for changes in interest rate and indirect taxes, and RPI(J) uses an alternative calculation method for some prices that is in line with international standards. The RPI is not a National Statistic."
Savingratio,Saving ratio,The ratio of personal saving to disposable income.
Seasonallyadjusted,Seasonally adjusted,A widely used technique for removing seasonal or calendar effects from time series data.
Services,Services,A large and diverse grouping of industries that produce intangible economic output.
ServicesProducerPricesIndexSPPI,Services Producer Prices Index (SPPI),Contains individual price indices that provide information on price change for a limited range of service industries.
StandardIndustrialClassificationSIC,Standard Industrial Classification (SIC),The industrial classification applied to the collection and publication of a wide range of economic statistics.
Structuralunemployment,Structural unemployment,Reflects the mismatch of skills and job opportunities as the pattern of demand and supply changes.
ILOunemployment,ILO unemployment,The International Labour Organisation’s measure of unemployment defined as a person who is either out of work and actively looking for a job or out of work and waiting to start a job in the next two weeks.
Unitlabourcosts,Unit labour costs,"Reflect total labour costs, including social security and employers’ pension contributions, and including the costs of self-employed labour, incurred in the production of a unit of economic output."
ValueAddedTaxVAT,Value Added Tax (VAT),"A tax on consumption, which is paid to the tax authorities by the seller on behalf of the consumer. It is not levied on goods used as intermediate consumption."
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
